Video ID,Title,Descrption,Published At
R51lAC_n_lw,Microsoft is using AI to convert code to Rust...,Microsoft is adopting Rust across it's product line and using AI to convert Python code to Rust. Mark's keynote talk: ...,2025-03-27T14:03:54Z
RrIzHCKcS_g,C++ is losing to Rust (C++ creator calls for help),Article: https://www.theregister.com/2025/03/02/c_creator_calls_for_action/ Free Rust training: https://letsgetrusty.com/bootcamp.,2025-03-13T14:54:59Z
P4-jSupvBFs,Rust&#39;s 2024 edition is finally here,"Rust Edition 2024 has officially launched! In this video, we'll dive into the key improvements that make Rust even more powerful ...",2025-02-28T15:00:39Z
n2LUFpgqxdY,Rust adoption in Linux is NOT going well…,Rust adoption in the Linux Kernel has hit a few snags. In this video we'll explore why existing C maintainers want nothing to do ...,2025-02-24T14:36:34Z
NV6Xo_el_2o,A new tool for visualizing Rust lifetimes,See how RustOwl can help you understand lifetimes in a real Rust codebase. A brand-new tool designed to visualize Rust ...,2025-02-13T15:00:34Z
HGERkwG0ViI,Breaking Rust’s memory safety with 1 line of code,Discover how Rust's memory safety guarantee was shattered with just one line of code! Dive into the story of a 10-year-old bug in ...,2025-01-16T15:00:21Z
eJFWTS0ktXo,Should you learn Rust in 2025?,"In this video, we explore whether learning Rust in 2025 is a good investment for developers. We'll explore the language's features ...",2024-12-20T15:00:54Z
SWwTD2neodE,5 deadly Rust anti-patterns to avoid,"In this video, we explore 5 deadly anti-patterns in Rust that can lead to buggy, inefficient, or hard-to-maintain code. Avoid these ...",2024-12-03T14:50:52Z
AwFU-CrIB8I,Rust is secretly taking over chip development,"Find out how Rust is making it's way into computer chips and why companies like Nvidia, AMD, Google, and Microsoft are ...",2024-10-18T14:18:33Z
ZhedgZtd8gw,Ultimate VS Code setup for Rust development (2025),"Discover why Visual Studio Code remains the go-to IDE for developers, especially when working with Rust. In this video, we'll ...",2024-10-10T14:00:35Z
umhxH_AxG7I,Google’s adoption of Rust has finally paid off…,"In this video, we dive into how Google has successfully cut memory safety vulnerabilities in Android through the adoption of Rust ...",2024-10-03T14:00:52Z
6mVkva3_z9M,The genius of Rust constructors,"Dive into the bold design choices of Rust! In this video, we explore how Rust sets itself apart from traditional object-oriented ...",2024-09-26T14:00:05Z
uQYoSZTcUKI,Top 5 Rust books you MUST READ!,Discover the 5 must-read Rust books that will elevate your skills from a complete beginner to a competent Rust developer!,2024-09-19T14:00:49Z
sjsnuirLyKM,Rust stole C++&#39;s best features,"In this video, we dive deep into the best feature Rust stole from C+.+ I'll break down exactly what these features are and show you ...",2024-09-12T14:00:54Z
